RecordID,Date,Region,Platform,AudienceCount,EngagementRate,ConversionRate,AnomalyDetected,ModelUsed,ForecastError,RetrainingRequired,APIIntegration,FeatureEngineeringScore
1,2023-06-22,Europe,Email,16795,4.39,3.94,False,LSTM,7.76,True,Successful,81.8
2,2021-04-08,Europe,Social Media,1860,9.97,1.3,False,Prophet,3.21,False,Failed,59.4
3,2021-01-12,Asia,Email,77820,5.63,3.55,False,Prophet,8.05,False,Successful,58.5
4,2021-03-30,North America,Email,55886,3.28,1.08,False,Prophet,12.53,True,Successful,93.5
5,2023-08-02,Europe,Website,7265,2.28,0.21,False,LSTM,9.24,True,Failed,71.0
6,2023-03-20,North America,Mobile App,83386,3.57,1.01,False,SARIMA,9.51,False,Successful,82.7
7,2022-12-28,North America,Website,38194,3.79,0.9,False,SARIMA,8.12,True,Failed,75.2
8,2021-07-07,Asia,Website,88498,0.78,1.7,False,SARIMA,13.91,False,Successful,86.4
9,2021-12-19,Europe,Mobile App,45131,3.76,2.1,False,ARIMA,13.98,False,Successful,74.0
10,2021-02-26,Asia,Mobile App,61263,4.7,2.55,False,Prophet,7.7,False,Successful,64.4
11,2020-01-14,Australia,Email,17023,7.26,2.39,False,ARIMA,4.59,False,Successful,68.2
12,2022-04-08,South America,Mobile App,42090,6.6,1.36,False,Prophet,6.9,False,Successful,93.0
13,2020-02-22,Asia,Social Media,68221,7.12,0.16,False,ARIMA,2.81,False,Successful,73.4
14,2021-03-21,North America,Mobile App,65820,0.18,3.03,False,ARIMA,9.55,True,Successful,60.7
15,2023-07-25,Africa,Email,1769,2.25,1.98,False,SARIMA,7.51,False,Successful,96.7
16,2020-01-25,Africa,Website,60735,6.65,1.5,False,Prophet,1.56,False,Successful,89.8
17,2022-02-03,South America,Social Media,63955,4.89,4.34,False,LSTM,2.97,True,Failed,52.8
18,2023-10-12,Europe,Email,65925,0.15,3.74,True,Prophet,7.2,False,Successful,99.9
19,2022-01-04,Europe,Website,68969,8.06,4.29,False,LSTM,13.31,False,Successful,84.7
20,2021-12-03,Asia,Social Media,6311,7.75,2.48,False,LSTM,8.5,True,Successful,58.0
21,2021-04-09,North America,Email,84104,5.53,0.66,False,Prophet,10.23,False,Successful,61.9
22,2021-01-03,Asia,Social Media,54707,0.76,3.48,False,ARIMA,5.09,False,Failed,84.6
23,2020-04-14,Europe,Website,86305,7.69,1.04,False,Prophet,8.58,False,Successful,89.0
24,2020-06-28,Asia,Email,29693,5.88,2.21,False,Prophet,6.72,False,Failed,62.0
25,2021-09-11,North America,Mobile App,72932,7.84,0.33,False,Prophet,9.89,True,Successful,62.8
26,2020-11-22,Australia,Mobile App,94016,7.54,4.13,False,LSTM,0.77,False,Successful,65.4
27,2020-06-05,Asia,Social Media,26658,8.05,0.64,False,Prophet,7.4,False,Successful,79.9
28,2021-07-16,South America,Email,85478,5.23,4.52,False,Prophet,4.45,False,Successful,58.6
29,2023-03-24,Europe,Mobile App,19431,1.49,4.32,False,ARIMA,4.9,False,Successful,55.2
30,2020-04-18,South America,Website,3747,6.74,2.33,False,SARIMA,14.41,False,Successful,83.9
31,2020-02-09,North America,Social Media,60150,6.24,3.72,False,ARIMA,2.75,False,Successful,89.0
